,JPM,MS,BAC
2019-01-01,100.71309460336279,45.20549120140004,28.316216363189312
2019-01-02,102.84641203916007,45.88768983119978,28.741349394999553
2019-01-03,105.10460613383394,47.114268117176934,29.203767431045826
2019-01-04,105.91963685647781,47.188303743640276,29.239536867489946
2019-01-07,106.3087030342716,46.375252812118745,28.753702959092884
2019-01-08,105.54699170322021,45.60859685998382,28.586794265794687
2019-01-09,104.30277292621861,44.49029584825222,28.567692983837684
2019-01-10,104.0269466161192,44.43279419521587,28.15575735224995
2019-01-11,103.30655198461838,44.23850852158582,27.719082043952007
2019-01-14,103.87338693237909,44.160362215060346,27.733409336066988
2019-01-15,103.07425850861864,44.76993275518055,27.676867540253962
2019-01-16,101.6535626148345,44.6601006995879,27.121074448871354
2019-01-17,101.9813798216215,43.85251339747888,26.749886347460173
2019-01-18,102.29367801219107,44.321611164127766,26.906816298850117
2019-01-21,102.17495823833606,44.14337717894082,26.515227640233743
2019-01-22,101.22732435431317,43.59552646552231,26.52179730814487
2019-01-23,101.7386805856997,42.962386787917836,26.592281402739754
2019-01-24,101.25164573563399,42.4890379030773,26.581914355470534
2019-01-25,102.711845757358,43.43516956061433,26.76698233236841
2019-01-28,102.32490423764735,43.46177990143132,26.93180685352385
2019-01-29,101.70579007273098,43.1653152683552,26.524554166561472
2019-01-30,100.1165938067184,42.98828484670299,26.54103198362992
2019-01-31,100.05932981797115,43.441647471651855,26.677411287191966
2019-02-01,99.23136974293438,43.319654687822585,26.873537706479016
2019-02-04,99.22306923441134,44.059318560759515,26.364992309592676
2019-02-05,100.37028766125617,44.52922153434777,26.555524114301605
2019-02-06,100.53490637537227,43.65379446623411,26.409951096857405
2019-02-07,101.0611737343115,44.55269724246675,26.501766841778228
2019-02-08,100.00411652486872,43.936820699381855,26.446334663879682
2019-02-11,100.4891227571856,43.86966827870357,26.63712833255894
2019-02-12,100.66116121420717,44.39939591746195,26.575010737827284
2019-02-13,100.2569708374127,44.07317869454283,26.123071207655244
2019-02-14,100.69883413466529,44.36559019941191,26.236680624486265
2019-02-15,100.42059299593929,43.60281040023547,25.987913845112697
2019-02-18,99.99704642218414,43.08466524174184,25.80743724111096
2019-02-19,100.58421495325274,44.18853162647829,26.094453421411718
2019-02-20,100.97492983916325,44.30239627284778,25.738824282698168
2019-02-21,100.97917720479724,44.34015699235155,26.30223445447258
2019-02-22,100.7575822714437,44.41101925189838,26.26457953827442
2019-02-25,99.22006904639062,44.399937361854086,26.172130079483594
2019-02-26,100.32543319391405,44.379784421911836,26.680646362551585
2019-02-27,98.48401440489468,43.98954481792961,26.814911147982873
2019-02-28,97.21470677714264,43.263363378722374,26.51005697346732
2019-03-01,96.59481675342727,42.330485085645634,26.282209942511503
2019-03-04,95.2575220790075,42.0662790906596,25.798661407715926
2019-03-05,97.3106167995032,42.46238287651364,26.138336947553572
2019-03-06,98.42458099771407,42.307209747609335,26.359920862726053
2019-03-07,100.21691701967204,42.21409529347007,26.6973325289945
2019-03-08,100.60937303566793,42.715601289013186,26.54757501074202
2019-03-11,98.8713253086819,42.34889137439909,26.263705044836733
2019-03-12,99.2459302667142,42.64731626649555,26.212632130600028
2019-03-13,99.59742778137563,42.914456967193615,26.144972632276158
2019-03-14,102.17880764469575,44.06331757038157,26.46520586988955
2019-03-15,103.12973599350971,43.9463914334236,26.789675339907017
2019-03-18,104.79738389092208,44.14910660857813,27.324953953826295
2019-03-19,105.42516357581763,44.7692668982892,27.97641065078938
2019-03-20,105.11853431299538,44.30846440997427,27.639784007492768
2019-03-21,104.00876483013181,43.89243290901639,27.470615510317025
2019-03-22,104.4397655077194,44.4438893963974,27.62458476455774
2019-03-25,106.55200849612687,45.06482975596799,28.74713477600246
2019-03-26,107.49880355990291,44.98659077660606,28.62970897746962
2019-03-27,108.24455825271538,45.14344810739449,28.95903265321285
2019-03-28,108.98189890727987,45.36963714636671,28.903472855690854
2019-03-29,106.81852492459059,44.41753922971333,28.602685853552188
2019-04-01,107.17056507198812,43.953128031056714,28.635640431146925
2019-04-02,107.77259614570116,43.74671992895177,28.745048690213885
2019-04-03,107.90047060059173,43.26187552267159,28.781125853274
2019-04-04,108.7639377322536,44.06562836340415,29.319164169288644
2019-04-05,106.80249507133914,42.97925164238326,28.937437168998464
2019-04-08,107.58889097616115,43.48828064818578,30.149121990891324
2019-04-09,108.46466162021117,44.32626774041282,30.69348143873274
2019-04-10,109.46646016440218,44.52076699781247,31.111061947134342
2019-04-11,108.37365908135723,44.04816359817036,30.70113680876866
2019-04-12,108.53691689116205,45.22252165865709,30.41544410641084
2019-04-15,109.59095848369147,44.80888998853387,30.41398314936349
2019-04-16,111.2584316829866,45.410832593374536,30.51653762450986
2019-04-17,110.23330877209527,45.402994014968705,30.13790742167609
2019-04-18,110.60013386804073,45.55789461082569,30.052809174807376
2019-04-19,113.89358467437623,47.003833126544315,30.30742618472482
2019-04-22,114.22631250688315,46.791025114447514,30.557378790148615
2019-04-23,113.05592954095864,46.34496741631098,30.4190027314077
2019-04-24,114.43080796398606,46.21772720949499,30.547095431361463
2019-04-25,113.74494091559254,45.674284666031646,30.814773625555944
2019-04-26,114.414272922578,45.28574100583621,31.117436072236774
2019-04-29,117.78665070800677,46.9123652339351,31.543258565850614
2019-04-30,117.06598885915838,47.32340026690383,31.285019745755264
2019-05-01,117.81661971434836,47.9802920979427,31.25824450372162
2019-05-02,117.76907942710683,46.32867188591399,30.72106285132266
2019-05-03,117.41516620482868,45.605141848747934,30.9866402409697
2019-05-06,115.21606301959525,44.693438922623926,30.500223558701787
2019-05-07,117.52679661461008,44.74440140337458,31.216199227347325
2019-05-08,117.59006024917144,44.30169045517917,31.279376065122992
2019-05-09,117.95365771430939,44.136541736052635,31.33184062544549
2019-05-10,117.38863331176441,44.02285852032783,31.394672749726553
2019-05-13,119.97715018817148,44.238447982295206,32.47385747441481
2019-05-14,116.90342005078493,43.236121155294555,31.925907042415577
2019-05-15,117.39467099203588,43.103923462773395,31.929758270178525
2019-05-16,116.66259927555151,42.617824207919895,31.951580867544347
2019-05-17,117.27313612819479,42.49147711194898,32.28810495842842
2019-05-20,117.80777308094585,43.03340226278608,32.654480054562974
